strategy,stage,phase
Readjusting posture,Beige,Bottoming Out
Getting Comfy,Beige,Bottoming Out
Drinking Water,Beige,Bottoming Out
Listening to Music,Purple,Bottoming Out
Pranayama (Lion's Breath),Red,Bottoming Out
Learning,Orange,Bottoming Out
Baby Waterfall Conventions,Teal,Bottoming Out
One Pushup / One Squat,Beige,Restoration
Wash face,Beige,Restoration
Kirtan,Purple,Restoration
Taking a Bath,Purple,Restoration
Getting Some Sunshine,Purple,Restoration
Somatic Meditation,Red,Restoration
Biking,Red,Restoration
Jogging,Red,Restoration
Dancing,Red,Restoration
Husband Time,Blue,Restoration
Cold Shower,Beige,Rising
Clairaudient Practice,Purple,Rising
Divination,Purple,Rising
Dog Walkin Shamanism,Purple,Rising
Empathizing with Others,Blue,Rising
Metta Meditation,Blue,Rising
Dad Time,Blue,Rising
Pranayama (Wim Hof),Orange,Rising
Eating Something Tasty,Orange,Rising
Pranayama (Alternate Nostril),Orange,Rising
Yoga,Green,Rising
Creative Writing,Green,Rising
Making Music,Green,Rising
Meditation Micro-Retreats,Teal,Rising
Confidence Practice,Red,Peaking
Socializing,Blue,Peaking
Compassion Practice,Blue,Peaking
Samatha Vipassana,Yellow,Peaking
Kombucha,Yellow,Peaking
Magick,Teal,Peaking
Meditation Retreats,Ultraviolet,Peaking
Eating Something Grounding,Beige,Withdrawal
Spending Time in Crowded Places,Blue,Withdrawal
I Belong Here Ritual,Blue,Withdrawal
Clairsentient Practice with Loved Ones,Blue,Withdrawal
Intense Exercise,Orange,Withdrawal
Pranayama (4/7/8),Orange,Withdrawal
Pranayama (Box Breathing),Orange,Withdrawal
5-4-3-2-1 Technique,Beige,Withdrawal
Anti-Anxiety Meds,Yellow,Withdrawal
Long Drives,Purple,Diminishing
Hot Beverages,Purple,Diminishing
Walking,Red,Diminishing
Journaling,Green,Diminishing
Cleaning,Green,Diminishing
