id,stage_id,phase_id,dosage,expression
1,1,1,Medicinal,Commitment
2,2,1,Medicinal,Inspiration
3,3,1,Medicinal,Leading
4,4,1,Medicinal,Ambition
5,5,1,Medicinal,Hypothesize
6,6,1,Medicinal,Connection
7,7,1,Medicinal,Rebellion
8,8,1,Medicinal,Epiphany
9,9,1,Medicinal,Unification of Mind
10,1,1,Toxic,Overcommitment
11,2,1,Toxic,Grandiosity
12,3,1,Toxic,Dominating
13,4,1,Toxic,Voraciousness
14,5,1,Toxic,Assert
15,6,1,Toxic,Oversharing
16,7,1,Toxic,Mischief
17,8,1,Toxic,Delusion
18,9,1,Toxic,Worldly Desire
19,1,2,Medicinal,Diligence
20,2,2,Medicinal,Joy
21,3,2,Medicinal,Power-With
22,4,2,Medicinal,Attunement
23,5,2,Medicinal,Experiment
24,6,2,Medicinal,Belonging
25,7,2,Medicinal,Anarchy
26,8,2,Medicinal,Gnosis
27,9,2,Medicinal,Jhana
28,1,2,Toxic,Thriving
29,2,2,Toxic,Ecstasy
30,3,2,Toxic,Power-Over
31,4,2,Toxic,Leprosy
32,5,2,Toxic,Crusade
33,6,2,Toxic,Megalomania
34,7,2,Toxic,Chaos
35,8,2,Toxic,Psychosis
36,9,2,Toxic,Bliss Addiction
37,1,3,Medicinal,Steadiness
38,2,3,Medicinal,Introspectivity
39,3,3,Medicinal,Stepping Back
40,4,3,Medicinal,Discernment
41,5,3,Medicinal,Collect Data
42,6,3,Medicinal,Retirement
43,7,3,Medicinal,Organize
44,8,3,Medicinal,Receptivity
45,9,3,Medicinal,Metta and Meditative Joy
46,1,3,Toxic,Burnout
47,2,3,Toxic,Anxiety
48,3,3,Toxic,Crumbling
49,4,3,Toxic,Self-Medication
50,5,3,Toxic,Overlook Details
51,6,3,Toxic,Social Anxiety
52,7,3,Toxic,Discord
53,8,3,Toxic,Paranoia
54,9,3,Toxic,Agitation Due to Worry or Remorse
55,1,4,Medicinal,Security
56,2,4,Medicinal,Tranquility
57,3,4,Medicinal,Self-Acceptance
58,4,4,Medicinal,Conviction
59,5,4,Medicinal,Analyze
60,6,4,Medicinal,Unwinding
61,7,4,Medicinal,Establish
62,8,4,Medicinal,Absorption
63,9,4,Medicinal,Sustained Attention
64,1,4,Toxic,Grasping
65,2,4,Toxic,Self-Doubt
66,3,4,Toxic,Shame
67,4,4,Toxic,Rage
68,5,4,Toxic,Force it
69,6,4,Toxic,Alienation
70,7,4,Toxic,Confusion
71,8,4,Toxic,Horror
72,9,4,Toxic,Doubt
73,1,5,Medicinal,Planning
74,2,5,Medicinal,Convalescence
75,3,5,Medicinal,Following
76,4,5,Medicinal,Surrender
77,5,5,Medicinal,Synthesize
78,6,5,Medicinal,Repose
79,7,5,Medicinal,Order
80,8,5,Medicinal,Metabolism
81,9,5,Medicinal,Pleasure
82,1,5,Toxic,Overwhelm
83,2,5,Toxic,Self-Loathing
84,3,5,Toxic,Subjugation
85,4,5,Toxic,Misery
86,5,5,Toxic,Fail
87,6,5,Toxic,Isolation
88,7,5,Toxic,Bureaucracy
89,8,5,Toxic,Despair
90,9,5,Toxic,Aversion
91,1,6,Medicinal,Next Habit
92,2,6,Medicinal,Recuperation
93,3,6,Medicinal,Assembling
94,4,6,Medicinal,Catharsis
95,5,6,Medicinal,Question
96,6,6,Medicinal,Vulnerability
97,7,6,Medicinal,Disintegrate
98,8,6,Medicinal,Pattern-Seeking
99,9,6,Medicinal,Directed Attention
100,1,6,Toxic,New Plan
101,2,6,Toxic,Selfishness
102,3,6,Toxic,Revenge
103,4,6,Toxic,Self-Repression
104,5,6,Toxic,Presume
105,6,6,Toxic,Bitterness
106,7,6,Toxic,The Aftermath
107,8,6,Toxic,Belief Salience
108,9,6,Toxic,Laziness or Lethargy
